Title,Artist,ConstituentID,ArtistBio,Nationality,BeginDate,EndDate,Gender,Date,Medium,Dimensions,CreditLine,AccessionNumber,Classification,Department,DateAcquired,Cataloged,ObjectID,URL,ImageURL,OnView,Circumference (cm),Depth (cm),Diameter (cm),Height (cm),Length (cm),Weight (kg),Width (cm),Seat Height (cm),Duration (sec.)
"Rodin's ""Adam""",Farrell Grehan,2329,"(American, 1926–2008)",(American),(1926),(2008),(male),1962,Gelatin silver print,"13 3/4 × 9"" (34.9 × 22.9 cm)",The Ben Schultz Memorial Collection. Gift of the photographer,349.1968,Photograph,Photography,1968-03-06,N,51459,,,,,,,34.9,,,22.9,,
"Cordonnerie, F. Candé, 6 bis, rue Ravignan,  Paris",Unidentified photographer,8595,,(),(0),(0),(),1914,Gelatin silver print,"Approx. 3 9/16 × 5 1/2"" (9 × 14 cm)",Acquired through the generosity of Jon L. Stryker and Committee on Photography Fund,472.2019.120,Photograph,Photography,2019-11-12,Y,405153,https://www.moma.org/collection/works/405153,https://www.moma.org/media/W1siZiIsIjQ4MjQ4NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=12529abaa3ea6a3e,,,,,,,,,,
Untitled from Spirit Cooking,Marina Abramović,26439,"(Serbian, born 1946)",(Serbian),(1946),(0),(female),1996,Letterpress from a portfolio of eight etchings (four with aquatint and one with gold leaf) and four aquatints with chine collé; and 25 letterpress prints,"sheet: 12 3/8 x 10 15/16"" (31.5 x 27.8 cm)",Monroe Wheeler Fund,76.2011.11,Print,Drawings & Prints,2011-03-07,Y,146737,https://www.moma.org/collection/works/146737,https://www.moma.org/media/W1siZiIsIjIzMzUzNSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=04828bbaf378c047,,,,,31.5,,,27.8,,
Plate (page 45) from Three Young Rats and Other Rhymes,Alexander Calder,922,"(American, 1898–1976)",(American),(1898),(1976),(male),1944,Letterpress from an illustrated book with eighty-five letterpress prints and one supplementary ink on paper drawing,"composition (irreg.): 4 5/8 × 1 7/16"" (11.8 × 3.7 cm); page (irreg.): 12 3/16 × 9 7/16"" (31 × 24 cm)",The Louis E. Stern Collection,720.1964.29,Illustrated Book,Drawings & Prints,1964-10-06,Y,405471,https://www.moma.org/collection/works/405471,https://www.moma.org/media/W1siZiIsIjQ5MTM1NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1b00c16bd4840282,,,,,11.8,,,3.7,,
Mechanical for Flash Piece,"Mieko Shiomi, George Maciunas","5403, 21398","(Japanese, born 1938) (American, born Lithuania. 1931–1978)",(Japanese) (American),(1938) (1931),(0) (1978),(female) (male),1966,Typewriting on paper between two sheets of transparentized paper with ink,"sheet: 4 1/8 × 4 3/4"" (10.4 × 12 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,4140.2008,Drawing,Drawings & Prints,2008-10-08,Y,136705,https://www.moma.org/collection/works/136705,https://www.moma.org/media/W1siZiIsIjQyNTUzOSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=742acd45d5bdff03,,,,,10.4,,,12.0,,
Architecture Is Everywhere,"Sou Fujimoto, Sou Fujimoto Architects","48095, 48094","(Japanese, born 1971) (Japan, established 2000)",(Japanese) (),(1971) (0),(0) (0),(male) (),2015,Plastic on plywood base with metal pedestal,"3 1/8 × 5 7/8 × 5 7/8"" (8 × 15 × 15 cm)",Committee on Architecture and Design Funds,614.2016.3,Architecture,Architecture & Design,2016-06-10,N,289651,,,,,15.0,,8.0,,,15.0,,
The Slits,Unidentified Designer,6011,,(),(0),(0),(),c.1980,Lithograph,"22 x 17"" (55.9 x 43.2 cm)",Gift of Lawrence Benenson,312.2012,Design,Architecture & Design,2012-02-09,Y,156150,https://www.moma.org/collection/works/156150,https://www.moma.org/media/W1siZiIsIjI1MjQ2OSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=3467da49c99cae2d,,,,,55.8801117602,,,43.1800863602,,
"Untitled, plate 8 of 9, from the portfolio, The View from the Bottom of the Well",Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(female),1996,Drypoint,"plate: 8 9/16 x 6 1/4"" (21.7 x 15.9 cm); sheet: 12 9/16 x 10 1/4"" (31 x 26 cm)",Gift of the artist,539.1996,Print,Drawings & Prints,1996-11-12,Y,70809,https://www.moma.org/collection/works/70809,https://www.moma.org/media/W1siZiIsIjI2NzM0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2cf33f853886071e,,,,,21.7,,,15.9,,
"Rüediger Carl: Einstellungsgespräch Tisch Nr. 54. Dialog Für Zwei Akkordeons Zum Thema: Das Glückliche Ende Von Franz Kafka´s „Amerika“ ,",Martin Kippenberger,3111,"(German, 1953–1997)",(German),(1953),(1997),(male),1994,"Artist's book, lithograph printed","page (each): 11 11/16 × 8 1/4"" (29.7 × 21 cm); overall (closed): 11 11/16 × 8 1/4 × 1/16"" (29.7 × 21 × 0.2 cm)",Committee on Drawings and Prints Fund and through the generosity of Philip E. Aarons and Shelley Fox Aarons,646.2015,Illustrated Book,Drawings & Prints,2015-06-03,Y,195235,https://www.moma.org/collection/works/195235,https://www.moma.org/media/W1siZiIsIjMzMjY2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=5d892f62a15267cd,,,,,29.7,,,21.0,,
Bottle pumpkin from perfect world (for Parkett no. 58),Jason Rhoades,8286,"(American, 1965–2006)",(American),(1965),(2006),(male),2000,"Multiple of hand-painted gourd, backpack, chromogenic color prints, and round cardboard container","gourd: 7 7/8 x 7 7/8 x 13 3/4"" (20 x 20 x 35 cm)
backpack: 9 1/16 x 11 13/16 x 16 1/8"" (23 x 30 x 41 cm)",Roxanne H. Frank Fund,1365.2000.1-4a-k,Multiple,Drawings & Prints,2000-11-09,Y,76543,https://www.moma.org/collection/works/76543,,,,35.0,,20.0,,,20.0,,
Untitled from Cubes in Color on Color,Sol LeWitt,3528,"(American, 1928–2007)",(American),(1928),(2007),(male),2003,One from a portfolio of thirty linoleum cuts,"composition: 11 x 11"" (27.9 x 27.9 cm); sheet: 14 x 13 7/8"" (35.6 x 35.2 cm)",Roxanne H. Frank Fund and General Print Fund,562.2005.12,Print,Drawings & Prints,2005-06-02,Y,100139,https://www.moma.org/collection/works/100139,https://www.moma.org/media/W1siZiIsIjM0Mzg0NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=1e79995ab991ef06,,,,,27.9401,,,27.9401,,
"Kyle Residence Project, Houston, Texas (Scale model, 3/16"" = 1'0"")","Joel Sanders, Ernest Guenzburger, Sean Keller, Dillon Kyle, Cary Siress, Joel Sanders, Architect, Marc Tsurumaki","7566, 22875, 22876, 22877, 22878, 22874, 7564","(American, born 1956) (American, born 1965)",(American) () () () () () (American),(1956) (0) (0) (0) (0) (0) (1965),(0) (0) (0) (0) (0) (0) (0),(male) (male) (male) (male) () () (male),1991-92,"Wood, Plexiglass, resin, and aluminum","7 7/8 x 33 3/4 x 29 1/2"" (20 x 85.7 x 75 cm)",Gift of the Peter Norton Family Foundation,451.1997,Architecture,Architecture & Design,1997-10-17,Y,1058,https://www.moma.org/collection/works/1058,https://www.moma.org/media/W1siZiIsIjUyODAyMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=57663846a51a1942,,,75.0,,20.0,,,85.7,,
Young Bacchus with Tambourine with a Bacchante (Jeune Bacchus au tambourin avec une baccante) from the Vollard Suite (Suite Vollard),Pablo Picasso,4609,"(Spanish, 1881–1973)",(Spanish),(1881),(1973),(male),"1934, published 1939",Etching,"plate: 10 15/16 x 7 13/16"" (27.8 x 19.8 cm); sheet: 17 5/16 x 13 5/16"" (44 x 33.8 cm)",Abby Aldrich Rockefeller Fund,247.1949,Print,Drawings & Prints,1949-03-24,Y,65156,https://www.moma.org/collection/works/65156,https://www.moma.org/media/W1siZiIsIjE1ODI5NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7350ed901d5296e1,,,,,27.8,,,19.8,,
"Tulip, Paris",Robert Frank,1973,"(American, born Switzerland.1924–2019)",(American),(1924),(2019),(male),1950,Gelatin silver print,"13 5/16 × 8 5/16"" (33.8 × 21.1 cm)",John Parkinson III Fund,181.1976,Photograph,Photography,1976-04-21,Y,47771,https://www.moma.org/collection/works/47771,https://www.moma.org/media/W1siZiIsIjQ1NTg1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ea8d8a9aa2f815c1,,,,,33.8,,,21.1,,
Untitled plate from Canal Street,Saul Steinberg,5627,"(American, born Romania. 1914–1999)",(American),(1914),(1999),(male),1990,Offset lithograph from an illustrated book with two woodcuts and sixteen offset lithographs tipped in,"sheet (tipped in): 10 5/8 × 9 1/8"" (27 × 23.2 cm); page: 13 3/8 × 11 1/4"" (34 × 28.5 cm)",Gift of Linda and Julie Janovic,26.1991.8,Illustrated Book,Drawings & Prints,1991-01-23,N,447872,,,,,,,27.0,,,23.2,,
Opal's Departure,Amy Cutler,28596,"(American, born 1974)",(American),(1974),(0),(female),2011,"Lithograph, offset printed","composition (irreg.): 7 1/16 x 7 9/16"" (18 x 19.2 cm); sheet: 15 3/16 x 12 5/16"" (38.5 x 31.2 cm)",Acquired through the generosity of Mary M. and Sash A. Spencer,717.2012,Print,Drawings & Prints,2012-05-22,Y,155902,https://www.moma.org/collection/works/155902,https://www.moma.org/media/W1siZiIsIjI0NzQzNCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=19e984d0a6ada719,,,,,18.0,,,19.2,,
Prestige,Riiko Sakkinen,28784,"(Finnish, born 1976)",(Finnish),(1976),(0),(male),2002-2003,"Watercolor, synthetic polymer paint, ballpoint pen, and colored pencil on printed paper","11 5/8 x 8 1/4"" (29.5 x 21 cm)",The Judith Rothschild Foundation Contemporary Drawings Collection Gift,2947.2005,Drawing,Drawings & Prints,2005-05-10,Y,97235,https://www.moma.org/collection/works/97235,https://www.moma.org/media/W1siZiIsIjIwMzA2NSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=570abab0453a686a,,,,,29.5276,,,20.955,,
Parábola Óptica (Optical Parable),Manuel Álvarez Bravo,135,"(Mexican, 1902–2002)",(Mexican),(1902),(2002),(male),1931,Gelatin silver print,"9 5/16 × 7 1/16"" (23.6 × 18 cm)",Gift of N. Carol Lipis,848.1978.8,Photograph,Photography,1998-10-15,Y,56941,https://www.moma.org/collection/works/56941,https://www.moma.org/media/W1siZiIsIjE4NjYwNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4899b4793b3b7310,,,,,23.6,,,18.0,,
Plate (folio 10) from Seven Poems,Gregory Masurovsky,3825,"(American, 1929–2009)",(American),(1929),(2009),(male),1970,One from an illustrated book with seven etchings,"plate: 3 7/8 × 3 1/8"" (9.8 × 7.9 cm); page: 9 13/16 × 7 1/16"" (25 × 18 cm)",,628.1970.3,Illustrated Book,Drawings & Prints,1970-12-15,N,19815,,,,,,,9.8,,,7.9,,
Chatenay,Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(male),1921,Albumen silver print,"Approx. 6 1/2 × 8 1/2"" (16.5 × 21.6 cm)","Abbott-Levy Collection. Acquired through the generosity of Shirley C. Burden, and Family of Man Fund",1.1969.765,Photograph,Photography,1968-03-06,Y,43605,https://www.moma.org/collection/works/43605,https://www.moma.org/media/W1siZiIsIjMxOTQ4MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=fe417aa3a6edf4d5,,,,,,,,,,
Front cover from Phantastische Gebete (Fantastic Prayers),Jean (Hans) Arp,11,"(French, born Germany (Alsace). 1886–1966)",(French),(1886),(1966),(male),1916,One from an illustrated book with seven woodcuts,"composition (irreg.): 5 13/16 x 3 9/16"" (14.7 x 9 cm); page: 9 1/16 x 5 11/16"" (23 x 14.4 cm)",Gift of Frank Perls (by exchange),158.1975.1,Illustrated Book,Drawings & Prints,1975-05-09,Y,12336,https://www.moma.org/collection/works/12336,https://www.moma.org/media/W1siZiIsIjExNDEzMyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=ac318545229ad3a4,,,,,14.7,,,9.0,,
"IIT Master Plan, General Studies, Preliminary Studies, Chicago, IL (Exterior perspective.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1939—1941,Pencil on paper,(53.3 x 114.3 cm.),"Mies van der Rohe Archive, gift of the architect",MR3900.138,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,455141,,,,,,,,,,,,
In-text plate and text (folio 23) from DMT 42,Gerald Laing,3344,"(British, 1936–2011)",(British),(1936),(2011),(male),1969,One from an illustrated book with twenty-six screenprints,"composition (irreg.): 8 11/16 x 10 1/2"" (22 x 26.7cm); page: 16 3/4 × 13 5/16"" (42.5 × 33.8 cm)",Blanchette Hooker Rockefeller Fund,446.1970.12,Illustrated Book,Drawings & Prints,1970-10-22,Y,17289,https://www.moma.org/collection/works/17289,https://www.moma.org/media/W1siZiIsIjM5NzA1NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=38f2a9af35b19a49,,,,,22.0,,,26.7,,
Nude,Lee Friedlander,2002,"(American, born 1934)",(American),(1934),(0),(male),1979,Gelatin silver print,"18 9/16 × 12 1/2"" (47.2 × 31.7 cm)",Purchase,1116.2000,Photograph,Photography,2000-10-12,N,57662,,,,,,,47.2,,,31.7,,
General George A. Custer and Wife,Mathew B. Brady (studio of),734,"(American, 1823–1896)",(American),(1823),(1896),(male),1861-65,Gelatin silver print,"3 7/16 × 2 5/16"" (8.8 × 5.9 cm)",Anonymous gift,231.1942,Photograph,Photography,1942-05-07,N,49227,,,,,,,8.8,,,5.85,,
Galactic Insect,César (César Baldaccini),1052,"(French, 1921–1998)",(French),(1921),(1998),(male),1956,Welded iron,"19 7/8 x 37 x 14 1/2"" (50.5 x 94 x 36.8 cm) including base",Gift of G. David Thompson,3.1959,Sculpture,Painting & Sculpture,1959-03-02,Y,80756,https://www.moma.org/collection/works/80756,https://www.moma.org/media/W1siZiIsIjIwNzk4MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6fe6a29b07ff0a7b,,,36.8,,50.5,,39.9165,94.0,,
Untitled,Howard Sochurek,5505,"(American,1924–1994)",(American),(1924),(1994),(male),c. 1956,Silver dye bleach print,"10 1/8 × 13 1/8"" (25.6 × 33.3 cm)",Gift of Life Magazine,358.1959,Photograph,Photography,1959-04-22,Y,51688,https://www.moma.org/collection/works/51688,https://www.moma.org/media/W1siZiIsIjIxNjY2NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=d470b83c70c61f77,,,,,25.6,,,33.3,,
"Who, Where, When, Why, What",Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(female),2008,"Drypoint, aquatint, and etching, with hand additions","plate: 11 7/8 x 9 13/16"" (30.1 x 25 cm); sheet: 18 1/8 x 13"" (46 x 33 cm)",Gift of the artist,1572.2012,Print,Drawings & Prints,2012-10-03,Y,150671,https://www.moma.org/collection/works/150671,https://www.moma.org/media/W1siZiIsIjI2MzgxMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=444ead655dff62a9,,,,,30.1,,,25.0,,
Martha's Vineyard,Aaron Siskind,5456,"(American, 1903–1991)",(American),(1903),(1991),(male),c. 1954,Gelatin silver print,"13 1/2 × 16 1/2"" (34.2 × 41.9 cm)",Photography Purchase Fund,346.1959,Photograph,Photography,1959-04-22,Y,51376,https://www.moma.org/collection/works/51376,https://www.moma.org/media/W1siZiIsIjE4MzU0NyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c5afa1179ddc49ff,,,,,34.2,,,41.9,,
"Chapelle Notre-Dame-du-Haut, Ronchamp (Scale model, 1:70)",Le Corbusier (Charles-Édouard Jeanneret),3426,"(French, born Switzerland. 1887–1965)",(French),(1887),(1965),(male),1950–1955,"Wood, paint, and plaster","14 1/2 x 35 3/8 x 25 5/8"" (36.8 x 89.9 x 65.1 cm)",Gift of Philip Johnson,MC 53,Architecture,Architecture & Design,1968-10-07,Y,82341,https://www.moma.org/collection/works/82341,https://www.moma.org/media/W1siZiIsIjUzMTI1MSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=27aafd6fc5ee3a84,,,65.0876,,36.8301,,,89.8527,,
In-text plate (page 75) from Parallèlement (In Parallel),Pierre Bonnard,665,"(French, 1867–1947)",(French),(1867),(1947),(male),1900,Lithograph from an illustrated book with 109 lithographs and nine wood engravings,"composition (irreg.): 9 13/16 × 8 1/8"" (25 × 20.6 cm); page (irreg. each approx.): 11 11/16 × 9 7/16"" (29.6 × 24 cm)",The Louis E. Stern Collection,684.1964.66,Illustrated Book,Drawings & Prints,1964-10-06,Y,21350,https://www.moma.org/collection/works/21350,https://www.moma.org/media/W1siZiIsIjE4MTA3NiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4425e24a63088d3a,,,,,25.0,,,20.6,,
"Plate 2 of 11, from the illustrated book, He Disappeared into Complete Silence, second edition",Louise Bourgeois,710,"(American, born France. 1911–2010)",(American),(1911),(2010),(female),1990; reprinted 1993,Engraving,"plate: 6 9/16 x 5 7/16"" (16.7 x 13.8 cm); sheet: 15 x 11 3/16"" (38.1 x 28.4 cm)",Gift of the artist,395.1993,Print,Drawings & Prints,1993-11-17,Y,68388,https://www.moma.org/collection/works/68388,https://www.moma.org/media/W1siZiIsIjE1ODMzMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=9942baad3f34b5e4,,,,,16.7,,,13.8,,
"10 rue de Turenne, Vieille Maison",Eugène Atget,229,"(French, 1857–1927)",(French),(1857),(1927),(male),1900,Albumen silver print,"Approx. 8 11/16 × 7 1/16"" (22 × 18 cm)","Abbott-Levy Collection. Acquired through the generosity of Shirley C. Burden, and Family of Man Fund",1.1969.4776,Photograph,Photography,1968-03-06,Y,43074,https://www.moma.org/collection/works/43074,https://www.moma.org/media/W1siZiIsIjI4OTQ3MCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=c0d49239ee15d666,,,,,,,,,,
"LOST PROFILE (plate, folio 13) from TABU DADA or COURANTS D'AIR SUR LE CHEMIN DE MA VIE 1916-1921",Jacques Villon,6165,"(French, 1875–1963)",(French),(1875),(1963),(male),1916-1941,,"plate  11 15/16 x 8 7/16"" (30.3 x 21.4 cm)",Gift of Miss Rose Fried,413.1958.12,Illustrated Book,Drawings & Prints,1958-12-19,N,16848,,,,,,,30.3,,,21.4,,
Title page from TROIS JOURNÉES DE LA TRIBU,Maurice de Vlaminck,6177,"(French, 1876–1958)",(French),(1876),(1958),(male),1921,"Woodcut, printed in black","irreg. composition  1 9/16 x 3 1/2"" (4 x 8.9 cm)",Gift of Henry Russell Hitchcock,307.1955.2,Illustrated Book,Drawings & Prints,1955-10-10,N,15103,,,,,,,4.0,,,8.9,,
Untitled (Mr. Austridge: 2),Sherrie Levine,3515,"(American, born 1947)",(American),(1947),(0),(female),1989,Casein on wood in artist's frame,"47 1/8"" x 27 1/8"" (119.7 x 68.9 cm)",Committee on Painting and Sculpture Funds,601.2009,Painting,Painting & Sculpture,2009-09-21,Y,130702,https://www.moma.org/collection/works/130702,https://www.moma.org/media/W1siZiIsIjMxNzAyMCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=405246853d040ec1,,,,,,,,,,
"Pragati Maidan: Hall of Nations and Halls of Industries for the India International Trade Fair, New Delhi, India (Sketch of structure)",Raj Rewal,69904,"(Indian, born 1934)",(Indian),(1934),(0),(male),1970,Ink and pencil on vellum,"11 5/8 × 16 1/2"" (29.5 × 41.9 cm)",Committee on Architecture and Design Funds,62.2018.1,Architecture,Architecture & Design,2018-02-12,Y,274521,https://www.moma.org/collection/works/274521,https://www.moma.org/media/W1siZiIsIjQyODEzNyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=6689aa712c53843c,,,,,29.5275590551,,,41.9100838202,,
Parkett no. 10,"Bruce Nauman, Scott Burton, Enzo Cucchi, Hanne Darboven, A.R. Penck (Ralf Winkler), Mario Botta, Various Artists","4243, 889, 1323, 1388, 4546, 696, 24409","(American, born 1941) (American, 1939–1989) (Italian, born 1949) (German, 1941–2009) (German, 1939–2017) (Swiss, born 1943)",(American) (American) (Italian) (German) (German) (Swiss) (),(1941) (1939) (1949) (1941) (1939) (1943) (0),(0) (1989) (0) (2009) (2017) (0) (0),(male) (male) (male) (female) (male) (male) (),1986,Journal and special edition project,"page (each): 10 × 8 1/2"" (25.4 × 21.6 cm); duration: 30 min.","Riva Castleman Endowment Fund, Lily Auchincloss Fund, and Gift of Parkett",95.1998.1-2,Periodical,Drawings & Prints,1998-03-05,N,11251,,,,,3.8,,17.5,,,25.4,,
Turkish Jew,Mordechai Avniel,252,(Israeli),(Israeli),(0),(0),(male),1953,Woodcut,"composition: 11 13/16 x 9"" (30 x 22.9cm); sheet: 17 15/16 x 11 15/16"" (45.6 x 30.4cm)",Purchase,202.1955,Print,Drawings & Prints,1955-10-10,Y,64334,https://www.moma.org/collection/works/64334,https://www.moma.org/media/W1siZiIsIjI1NTM4MyJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=7a8683ebe9a25bce,,,,,30.0,,,22.9,,
L'Apocalypse,Stanley William Hayter,2558,"(British, 1901–1988)",(British),(1901),(1988),(male),1937,Illustrated book with one engraving and etching,"plate  3 1/2 x 6"" (8.9 x 15.3 cm)
Page (very irreg.):  5 7/16 - 5 15/16"" x 3 3/4 x 3 7/8"" (13.8 - 15.2 x 9.5 - 9.9 cm)","Gift of Mr. and Mrs. Alfred H. Barr, Jr.",580.1976,Illustrated Book,Drawings & Prints,1976-11-10,Y,18938,https://www.moma.org/collection/works/18938,,,,,,8.9,,,15.3,,
"IIT Field House Building, Gymnasium, Natatorium, Chicago, IL (Dedication plaque. Elevation. Sketch.)",Ludwig Mies van der Rohe,7166,"(American, born Germany. 1886–1969)",(American),(1886),(1969),(male),1945,"Pencil, charcoal on tracing",(45.7 x 53.3 cm.),"Mies van der Rohe Archive, gift of the architect",MR4506.215,Mies van der Rohe Archive,Architecture & Design,1968-04-11,N,456688,,,,,,,,,,,,
Letterhead for the State Airline Dobrolet,Aleksandr Rodchenko,4975,"(Russian, 1891–1956)",(Russian),(1891),(1956),(male),1923,Letterpress,"6 1/2 x 7 7/8"" (16.5 x 20.3 cm)",Gift of Elaine Lustig Cohen,1598.2000,Design,Architecture & Design,2000-12-11,Y,8923,https://www.moma.org/collection/works/8923,https://www.moma.org/media/W1siZiIsIjUwODM5MiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=bbe03fac889f06f8,,,,,16.5,,,20.3,,
Flux Stationery: Hand in Glove,George Maciunas,21398,"(American, born Lithuania. 1931–1978)",(American),(1931),(1978),(male),c. 1975,"Cardboard box with plastic lid, containing twelve offset envelopes and twelve offset sheets","envelope (each): 10 7/16 x 4 7/16"" (26.5 x 11.3 cm); sheet (each): 9 7/16 x 8 3/16"" (24 x 20.8 cm); overall (box): 10 11/16 x 8 7/16 x 13/16"" (27.1 x 21.5 x 2 cm)",The Gilbert and Lila Silverman Fluxus Collection Gift,2539.2008,Multiple,Drawings & Prints,2008-10-08,Y,127908,https://www.moma.org/collection/works/127908,https://www.moma.org/media/W1siZiIsIjI2NDgxMSJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=0675ea1714061cc4,,,,,26.5,,,11.3,,
Untitled,John B. Greene,2323,"(American, born France. 1832–1856)",(American),(1832),(1856),(male),1855-56,Salted paper print from a waxed-paper negative,"9 1/8 × 11 7/8"" (23.4 × 30.2 cm)",Gift of Daniel K. Mayers,379.1986,Photograph,Photography,1986-10-16,Y,52157,https://www.moma.org/collection/works/52157,https://www.moma.org/media/W1siZiIsIjIwMDM3NCJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=4c25bf2f9bfdb6a6,,,,,23.4,,,30.2,,
"Edith Wolf II. Liederabend, 8 Marz",Herbert Bayer,399,"(American, born Austria. 1900–1985)",(American),(1900),(1985),(male),Unknown,Poster,"27 1/2 x 37"" (69.8 x 94cm)","Purchase Fund, Jan Tschichold Collection",332.1937,Design,Architecture & Design,1937-10-30,N,6310,,,,,,,69.8,,,94.0,,
Untitled from the portfolio BIRDS,Aubrey Schwartz,5284,"(American, 1928–2019)",(American),(1928),(2019),(male),1961,,"irreg composition  19 1/4 x 21 13/16"" (48.9 x 55.4 cm)
sheet  22 5/8 x 30 1/8"" (57.5 x 76.5 cm)",Gift of Mrs. Donald B. Straus,483.1961.6,Print,Drawings & Prints,1961-12-13,N,69920,,,,,,,48.9,,,55.4,,
"Page from Sketchbook #10, Paris",Ellsworth Kelly,3048,"(American, 1923–2015)",(American),(1923),(2015),(male),1949-50,Page from a spiral-bound sketchbook with pencil on paper,"13 3/8 × 10 7/8"" (34 × 27.6 cm)",Gift of Jack Shear,339.2020.41,Notebook,Drawings & Prints,2020-12-09,N,439898,,,,,0.0,,34.0,,,27.6,,
Sicily,Thomas Roma,5006,"(American, born 1950)",(American),(1950),(0),(male),1982,Gelatin silver print,"12 11/16 × 18 11/16"" (32.2 × 47.4 cm)",Gift of the artist,100.1988,Photograph,Photography,1988-03-10,Y,46537,https://www.moma.org/collection/works/46537,https://www.moma.org/media/W1siZiIsIjIyNzkxNiJdLFsicCIsImNvbnZlcnQiLCItcmVzaXplIDEwMjR4MTAyNFx1MDAzZSJdXQ.jpg?sha=2879416b3591f663,,,,,32.2,,,47.4,,
